id,code,label
1,1,приговор суда первой инстанции оставлен без изменения
2,2,обвинительный приговор отменен с оправданием лица
3,3,обвинительный приговор отменен с прекращением дела
4,4,обвинительный приговор отменен частично с оставлением менее тяжкого обвинения
5,5,обвинительный приговор отменен с направлением дела на новое судебное рассмотрение
6,6,обвинительный приговор изменен с переквалификацией обвинения без изменения наказания
7,7,обвинительный приговор изменен с изменением наказания и переквалификацией обвинения
8,8,обвинительный приговор изменен с изменением меры наказания без переквалификации обвинения
9,9,апелляционное производство прекращено
10,10,обвинительный приговор отменен с вынесением нового обвинительного приговора
11,11,апелляционное постановление (определение) отменено с оставлением в силе постановления (приговора) суда первой инстанции
