id,code,label
1,1,с обвинительным заключением
2,2,с обвинительным актом
3,2.1,с обвинительным постановлением
4,2.2,с ходатайством о прекращении дела и назначении судебного штрафа
5,3,заявление в порядке частного обвинения
6,4,выделено в отдельное производство
7,5,по подсудности из другого суда
8,6,после розыска обвиняемого
9,7,после отмены судебного постановления вышестоящим судом
10,8,материал в порядке частного обвинения (по подведомственности)
11,9,после возвращения дела прокурору
12,10,после отмены судебного постановления по новым или вновь открывшимся обстоятельствам
13,11,в связи с правовой позицией Европейского Суда по правам человека
14,12,в связи с постановлением Конституционного Суда РФ
15,13,в связи с постановлением Президиума ВС РФ
16,14,в связи с постановлением Пленума ВС РФ
17,15,для применения мер медицинского характера в отношении невменяемого
18,16,после отказа в удовлетворении ходатайства о прекращении уг. дела с назначением суд. штрафа
19,17,после отказа в принятии к производству ходатайства о прекращении уг. дела с назначением суд. штрафа
20,18,после отмены прекращения дела с назначением судебного штрафа
21,19,после отмены принудительных мер медицинского характера
22,20,после отмены принудительных мер воспитательного воздействия
