id,code,label
1,1,Впервые
2,2,Впервые, связанное с другим адм. делом
3,3,Выделено судом в отдельное производство
4,4,По подсудности из другого суда
5,5,После отмены суд. постановления вышестоящим судом
6,6,Ранее оставленное без рассмотрения этим же судом
7,7,После отмены определения об отказе в принятии или оставлении без движения
8,8,После отмены суд. постановления по новым или вновь открывшимся обстоятельствам
9,8.1, - в связи с решением ЕСПЧ
10,8.2, - в связи с решением КС РФ
11,8.3, - в связи с постановлением Президиума ВС РФ
12,8.4, - в связи с постановлением Пленума ВС РФ
