id,code,label
1,1,Неявка лиц без сведений об извещении
2,2,Неявка извещенного ответчика с обязательным присутствием
3,2.1,Неявка ответчика повторно без уважительных причин
4,2.2,Неявка ответчика повторно с уважительными причинами
5,3,Неявка представителя с обязательным участием
6,3.1,Неявка представителя повторно без уважительных причин
7,3.2,Неявка представителя повторно с уважительными причинами
8,4,Ходатайство об отложении по уважительной причине
9,5,Ходатайство представителя с необязательным участием
10,6,Подано встречное административное исковое заявление
11,7,Ходатайство для предоставления доп. доказательств
12,8,Технические неполадки
13,9,Совершение иных процессуальных действий
