id,code,label
1,1,Штраф (руб.)
2,2,Лишение права занимать определенные должности или заниматься определенной деятельностью (лет, месяцев)
3,3.1,Лишение специального звания
4,3.2,Лишение воинского или почетного звания
5,3.3,Лишение классного чина и государственных наград
6,4,Обязательные работы (часов)
7,5,Исправительные работы (лет, месяцев)
8,6,Ограничение по военной службе (лет, месяцев)
9,7,Ограничение свободы
10,8,Арест (месяцев)
11,9,Содержание в дисциплинарной воинской части (лет, месяцев)
12,10,Лишение свободы на определенный срок (лет, месяцев)
13,11,Пожизненное лишение свободы
14,12,Смертная казнь
15,13,Наказание осужденному не назначалось
16,14,Принудительные работы (лет, месяцев)
